queryID	class	prob_class	order	prob_order	family	prob_family	genus	prob_genus	species	prob_species	bestHit_similarity	bestHit	protaxmod
OTU136	root	1	Anura	0.9997998050416855	Anura,Ranidae	0.9995681112907904	Anura,Ranidae,Amolops	0.9922243876978029	Anura,Ranidae,Amolops,bellulus	0.8804862212037061	1	Amolops_bellulus_DQ204429	weighted
OTU137	root	1	Passeriformes	0.9996777089469231	Passeriformes,Muscicapidae	0.9403165547845981	Passeriformes,Muscicapidae,Myophonus	0.45925622512400005	Passeriformes,Muscicapidae,Myophonus,caeruleus	0.4444227632916614	0.982	Myophonus_caeruleus_MN564936	weighted
OTU164	root	1	Artiodactyla	0.976677767170636	Artiodactyla,Moschidae	0.9026061301092612	Artiodactyla,Moschidae,Moschus	0.9011928538944846	Artiodactyla,Moschidae,Moschus,chrysogaster	0.6609950022841216	1	Moschus_chrysogaster_MW284875	weighted
OTU180	root	1	Soricomorpha	0.9682484126399307	Soricomorpha,Soricidae	0.9631500154816444	Soricomorpha,Soricidae,Episoriculus	0.574539171718198	Soricomorpha,Soricidae,Episoriculus,unk	0.5046404921289344	0.943	Episoriculus_macrurus_NC29840	weighted
OTU206	root	1	Rodentia	0.999407726463256	Rodentia,Sciuridae	0.9991976810301235	Rodentia,Sciuridae,Eupetaurus	0.71925019890896	Rodentia,Sciuridae,Eupetaurus,nivamons	0.7135284278798619	1	Eupetaurus_nivamons_MW699660	weighted
OTU223	root	1	root,unk	0.9705769407698188	NA	NA	NA	NA	NA	NA	0.83	Trachypithecus_francoisi_KJ174502	weighted
OTU234	root	1	Siluriformes	0.9411172929818601	Siluriformes,Sisoridae	0.91409378809218	Siluriformes,Sisoridae,Creteuchiloglanis	0.2693132712060167	Siluriformes,Sisoridae,Pseudexostoma,unk	0.24999609031054434	0.922	Pseudexostoma_yunnanense_JQ026258	weighted
OTU237	root	1	root,unk	0.8735490478849025	Chiroptera,unk	0.07247671073273106	NA	NA	NA	NA	0.832	Aproteles_bulmerae_U93066	weighted
OTU265	root	1	Chiroptera	0.9827542402610822	Chiroptera,Vespertilionidae	0.9738799865752309	Chiroptera,Vespertilionidae,Myotis	0.7748056928246285	Chiroptera,Vespertilionidae,Myotis,unk	0.7438313127730203	0.934	Myotis_auriculus_MF143486	weighted
OTU285	root	1	Primates	0.9984824825957398	Primates,Hominidae	0.9690230305852222	Primates,Hominidae,Homo	0.9521843671198494	Primates,Hominidae,Homo,sapiens	0.8656626465091792	1	Homo_sapiens_KF162205	weighted
OTU291	root	1	Chiroptera	0.5235723781825325	Chiroptera,Pteropodidae	0.4200729047627568	Chiroptera,Pteropodidae,unk	0.32408482237470104	Chiroptera,Pteropodidae,Eonycteris,unk	0.07756259431740004	0.887	Eonycteris_robusta_JN398172	weighted
OTU320	root	1	Anura	0.984044164810099	Anura,Megophryidae	0.881769142882118	Anura,Megophryidae,Scutiger	0.5433633662882059	Anura,Megophryidae,Scutiger,unk	0.5177524741811728	0.926	Scutiger_muliensis_EF397277	weighted
OTU331	root	1	Rodentia	0.9989652856864089	Rodentia,Sciuridae	0.9987605088045618	Rodentia,Sciuridae,Dremomys	0.9794246221453089	Rodentia,Sciuridae,Dremomys,lokriah	0.4372102842365442	1	Dremomys_lokriah_KY410877	weighted
OTU354	root	1	Artiodactyla	0.9982253864919368	Artiodactyla,Suidae	0.9972383204724746	Artiodactyla,Suidae,Sus	0.995470250402764	Artiodactyla,Suidae,Sus,scrofa	0.9653386563356348	1	Sus_scrofa_KM224340	weighted
OTU358	root	1	Soricomorpha	0.8812252591263526	Soricomorpha,Soricidae	0.8658288696942241	Soricomorpha,Soricidae,Episoriculus	0.5895598720735	Soricomorpha,Soricidae,Episoriculus,unk	0.5287481750868464	0.925	Episoriculus_leucops_NC56333	weighted
OTU377	root	1	root,unk	0.9856989456078641	NA	NA	NA	NA	NA	NA	0.818	Macaca_nigra_AY633523	weighted
OTU382	root	1	Rodentia	0.988393283714036	Rodentia,Muridae	0.983570953383297	Rodentia,Muridae,Apodemus	0.816590119278712	Rodentia,Muridae,Apodemus,latronum	0.5239452944582387	0.962	Apodemus_latronum_NC19585	weighted
OTU399	root	1	Rodentia	0.5514335153269189	Rodentia,Muridae	0.4883714473811926	Rodentia,Muridae,unk	0.2238072698368179	Rodentia,Muridae,Niviventer,unk	0.16162765744233656	0.888	Niviventer_andersoni_MW193740	weighted
OTU400	root	1	Siluriformes	0.58565933385149	Siluriformes,Sisoridae	0.3917736615315426	Siluriformes,Sisoridae,unk	0.2681523472755648	NA	NA	0.882	Bagarius_yarrelli_KP342264	weighted
OTU405	root	1	Soricomorpha	0.8272560655684856	Soricomorpha,Soricidae	0.8118335073933813	Soricomorpha,Soricidae,unk	0.4033526651839239	Soricomorpha,Soricidae,Episoriculus,unk	0.21161006795548498	0.897	Episoriculus_caudatus_GU981034	weighted
